@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West}

@DATA
8,8,true,true,true,true,1,1,3,1,11,11,13,5,-1,-1,6,8,0,2,388,387,2,East,-1,-1,2,4,false,false,true,false,false,true,false,false,East
9,8,true,true,true,true,1,1,3,1,11,11,13,5,-1,-1,5,7,0,2,387,386,2,East,-1,-1,2,4,false,false,true,false,false,true,false,false,East
10,8,true,true,true,true,1,1,3,1,11,11,13,5,-1,-1,4,6,0,2,386,385,2,East,-1,-1,2,4,false,false,true,false,false,true,false,false,East
11,8,true,true,true,true,1,1,3,1,11,11,13,5,-1,-1,3,5,0,2,385,384,2,East,-1,-1,8,4,false,false,true,false,true,false,false,false,North
11,9,true,true,true,true,1,1,3,1,11,11,13,5,-1,-1,2,6,0,2,384,383,2,North,-1,-1,8,4,false,false,true,false,true,false,false,false,North
11,10,true,true,true,true,1,1,3,1,11,11,13,5,-1,-1,1,7,0,2,383,482,1,North,-1,-1,8,4,false,false,true,false,true,false,false,false,North
11,11,true,true,true,true,1,1,3,1,5,1,13,5,-1,-1,-1,8,0,1,582,581,1,North,-1,-1,-1,4,false,false,false,true,false,true,false,false,East
12,11,true,true,true,true,1,1,3,1,5,1,13,5,-1,-1,-1,7,0,1,581,580,1,East,-1,-1,-1,4,false,false,false,true,false,true,false,false,East
13,11,true,true,true,true,1,1,3,1,5,1,13,5,-1,-1,-1,6,0,1,580,579,1,East,-1,-1,-1,5,false,false,false,true,false,false,true,false,South
13,10,true,true,true,true,1,1,3,1,5,1,13,5,-1,-1,-1,5,0,1,579,578,1,South,-1,-1,-1,5,false,false,false,true,false,false,true,false,South
13,9,true,true,true,true,1,1,3,1,5,1,13,5,-1,-1,-1,4,0,1,578,577,1,South,-1,-1,-1,5,false,false,false,true,false,false,true,false,South
13,8,true,true,true,true,1,1,3,1,5,1,13,5,-1,-1,-1,3,0,1,577,576,1,South,-1,-1,-1,5,false,false,false,true,false,false,true,false,South
13,7,true,true,true,true,1,1,3,1,5,1,13,5,-1,-1,-1,2,0,1,576,575,1,South,-1,-1,-1,5,false,false,false,true,false,false,true,false,South
13,6,true,true,true,true,1,1,3,1,5,1,13,5,-1,-1,-1,1,0,1,575,674,0,South,-1,-1,-1,5,false,false,false,true,false,false,true,false,South
1,13,false,true,true,false,1,4,4,11,11,8,13,5,9,5,15,20,0,4,0,-1,4,Stop,5,4,4,4,false,true,false,false,false,true,false,false,East
2,13,false,true,true,true,1,4,4,11,11,8,13,5,10,4,14,19,0,4,-1,-2,4,East,6,4,4,4,false,true,false,false,false,true,false,false,East
3,13,false,true,true,true,1,4,4,11,11,8,13,5,11,3,13,18,0,4,-2,-3,4,East,6,4,4,4,false,true,false,false,false,true,false,false,East
4,13,false,true,true,true,1,4,4,11,11,8,13,5,12,2,12,17,0,4,-3,-4,4,East,6,5,4,4,false,true,false,false,false,false,true,false,South
4,12,true,true,true,true,1,4,4,11,11,8,13,5,11,1,11,16,0,4,-4,95,3,South,6,5,4,4,false,true,false,false,false,false,true,false,South
4,11,true,true,true,true,1,4,3,1,11,8,13,5,10,-1,10,15,0,3,195,194,3,South,6,-1,4,4,true,false,false,false,false,false,false,true,West
3,11,true,true,true,true,1,4,3,1,11,8,13,5,9,-1,11,16,0,3,194,193,3,West,6,-1,4,4,true,false,false,false,false,false,false,true,West
2,11,true,true,true,true,1,4,3,1,11,8,13,5,8,-1,12,17,0,3,193,192,3,West,6,-1,4,4,true,false,false,false,false,false,false,true,West
1,11,true,true,true,false,1,4,3,1,11,8,13,5,7,-1,13,18,0,3,192,191,3,West,5,-1,4,4,true,false,false,false,false,false,true,false,South
1,10,true,true,true,false,1,4,3,1,11,8,13,5,6,-1,12,17,0,3,191,190,3,South,5,-1,4,4,true,false,false,false,false,false,true,false,South
1,9,true,true,true,false,1,4,3,1,11,8,13,5,5,-1,11,16,0,3,190,189,3,South,5,-1,4,4,true,false,false,false,false,false,true,false,South
1,8,true,true,true,false,1,4,3,1,11,8,13,5,4,-1,10,15,0,3,189,188,3,South,5,-1,3,4,true,false,false,false,false,false,true,false,South
1,7,true,true,true,false,1,4,3,1,11,8,13,5,3,-1,11,14,0,3,188,187,3,South,5,-1,2,4,true,false,false,false,false,false,true,false,South
