@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-14,19-24,29-36'

@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute g1_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute action {North,East,South,West}

@data
10,-1,-1,-1,8,-1,-1,-1,West
10,-1,-1,-1,8,-1,-1,-1,West
10,-1,-1,-1,8,-1,-1,-1,West
10,-1,-1,-1,8,-1,-1,-1,West
10,-1,-1,-1,8,-1,-1,-1,West
9,-1,-1,-1,8,-1,-1,-1,West
7,-1,-1,-1,8,-1,-1,-1,West
6,-1,-1,-1,8,-1,-1,-1,West
4,-1,-1,-1,8,-1,-1,-1,West
4,-1,-1,-1,8,-1,-1,-1,North
2,-1,-1,-1,8,-1,-1,-1,North
2,-1,-1,-1,8,-1,-1,-1,North
2,-1,-1,-1,2,-1,-1,-1,East
23,14,8,8,6,6,6,5,West
23,14,6,10,6,6,6,4,West
21,12,5,10,6,6,6,4,West
20,11,4,10,6,6,6,4,West
19,11,3,11,6,6,6,4,West
17,9,1,13,6,6,5,4,South
15,9,-1,11,6,6,-1,4,West
13,7,-1,13,6,6,-1,4,West
12,7,-1,13,6,6,-1,4,West
10,5,-1,15,6,6,-1,4,West
10,5,-1,17,6,4,-1,4,East
12,5,-1,15,6,6,-1,4,West
11,5,-1,15,6,6,-1,4,West
11,3,-1,16,6,5,-1,4,South
10,3,-1,14,6,5,-1,4,South
8,3,-1,12,6,5,-1,4,South
8,3,-1,10,6,4,-1,4,East
8,3,-1,10,6,5,-1,4,South
8,2,-1,8,6,5,-1,4,South
6,2,-1,8,6,5,-1,4,South
4,2,-1,7,6,6,-1,3,West
4,2,-1,9,6,4,-1,2,East
4,-1,-1,8,6,-1,-1,2,West
2,-1,-1,8,7,-1,-1,2,West
-1,-1,-1,9,-1,-1,-1,2,East
-1,-1,-1,7,-1,-1,-1,3,East
-1,-1,-1,7,-1,-1,-1,3,East
-1,-1,-1,7,-1,-1,-1,4,East
-1,-1,-1,5,-1,-1,-1,4,East
-1,-1,-1,5,-1,-1,-1,4,East
-1,-1,-1,3,-1,-1,-1,4,East
-1,-1,-1,2,-1,-1,-1,4,East
-1,-1,-1,1,-1,-1,-1,5,South
